h2vmba3uEV22,h2vmba2uEV22,h2v0ba3uEV22,h2v0ba2uEV22,h2v0ba1uEV22,h1vmba2uEV22,h1v0ba3uEV22,h1v0ba2uEV22,h1v0ba1uEV22,A2vmba2uEV12,A2v0ba3uEV12,A2v0ba2uEV12,A2v0ba1uEV12,A1vmba2uEV12,A1v0ba3uEV12,A1v0ba2uEV12,A1v0ba1uEV12
1.3281266,1.007679239,1.0483648,0.937709962,0.847645071,0.8538282,1.001924408,0.753245161,0.714844498,0.870201495,0.780433504,0.73477503,0.681817123,0.704799439,0.693448933,0.617610016,0.686987566
1.27921912,0.976678959,1.037694118,0.926797922,0.754729436,0.834617621,0.980986291,0.746430851,0.717135818,0.789744361,0.732248466,0.716570324,0.6299377,0.624910546,0.68478123,0.623617281,0.635678622
1.25371681,0.969494266,1.030765705,0.921386382,0.74710945,0.812096322,0.978039217,0.745164445,0.734442433,0.7600026,0.715790975,0.7189613,0.600165231,0.618692794,0.6851415,0.617632073,0.593913302
1.260791502,0.971940997,1.036755258,0.92917393,0.789340342,0.815021149,0.987893437,0.743011225,0.723798567,0.737863878,0.721704359,0.719928999,0.622496455,0.646478287,0.682430671,0.608583363,0.581209278
1.248379649,0.982297427,1.036299016,0.942258447,0.730307568,0.82312258,0.991855342,0.75444135,0.725574635,0.747874678,0.678256197,0.723839021,0.643907319,0.614892672,0.693924553,0.592482972,0.583123033
1.271477001,0.998664909,1.061811022,0.980927802,0.719528321,0.839344031,1.00008857,0.767563719,0.685334469,0.784326933,0.710771818,0.756581541,0.657477543,0.626673787,0.69892741,0.620511283,0.624685931
1.343422044,1.076970717,1.096226299,1.062798931,0.780882169,0.86519279,1.014804753,0.789840914,0.736701944,0.812909362,0.726932425,0.748876685,0.68836262,0.665624961,0.718479325,0.627095613,0.609851628
1.401107605,1.201686539,1.153170743,1.14369444,0.830016008,0.954031032,1.051746674,0.83094783,0.712166457,0.925992756,0.810049992,0.80581854,0.73097822,0.708797311,0.755774829,0.653058295,0.646821741
1.395532851,1.173795396,1.233414309,1.110937769,0.853906211,0.936189678,1.115840663,0.82298146,0.760985725,0.888202038,0.916003717,0.8448142,0.706168549,0.61992196,0.78578739,0.662358392,0.697771127
1.457048184,1.098930733,1.300954354,1.058998861,0.755364775,0.87193023,1.1625316,0.800302462,0.703468722,0.841728721,1.060678453,0.85392711,0.652275691,0.678755099,0.874730739,0.661323124,0.692158227
1.449461206,1.065491811,1.316588062,1.041319908,0.791886629,0.894398109,1.180682634,0.80160027,0.699271448,0.943048475,1.111297209,0.842018153,0.683736547,0.722302832,0.907617714,0.655021797,0.657870726
1.540289871,1.040368602,1.28158007,1.007580843,0.693900876,0.873603784,1.167132536,0.773212696,0.690608783,0.984917486,1.069620236,0.880134475,0.660614633,0.766521566,0.907411072,0.669997139,0.637360095
1.418971798,1.033954539,1.203112161,0.977936073,0.796514973,0.87266697,1.116732543,0.765213666,0.716575368,0.995258749,1.06245658,0.832531982,0.640451719,0.674160023,0.873205912,0.654847046,0.64563552
1.38773476,1.009853605,1.173260728,0.967843664,0.779602087,0.858795423,1.096106536,0.749822968,0.700307017,0.935778646,1.029547122,0.793887478,0.556886129,0.683954956,0.843280946,0.668849597,0.67632928
1.323591996,0.981081762,1.135294346,0.950707909,0.802629874,0.834370071,1.077946413,0.743030709,0.673594354,0.853499727,1.010905647,0.786901172,0.609811678,0.643159393,0.817715802,0.655026151,0.696876136
1.337763362,0.973662507,1.112260972,0.930561502,0.770198906,0.819511536,1.059736287,0.722625487,0.770515115,0.879919986,1.003120347,0.787859845,0.685889994,0.629313174,0.816744173,0.678105025,0.703524478
1.314061146,0.978308165,1.078724639,0.938484805,0.867741647,0.811524008,1.033548288,0.730763184,0.693575755,0.967857007,0.907617519,0.867598028,0.594231824,0.665825638,0.810828469,0.679055558,0.754839566
1.314242087,1.012716725,1.067686955,0.975156982,0.798104773,0.854156812,1.017646889,0.742916589,0.742314043,1.072761814,0.946040083,0.897476902,0.554251319,0.674851326,0.815597657,0.699364553,0.722801417
1.338639963,1.068114581,1.06783962,0.974463403,0.914815609,0.893569198,1.013121261,0.742781035,0.778926635,1.140851375,0.997730621,1.011924686,0.656390926,0.767719512,0.775937742,0.713883296,0.740625304
1.464056743,1.117465265,1.107569474,1.014588083,0.942983116,0.905793907,1.007619214,0.752686272,0.775835526,1.127743459,1.003640132,0.946739866,0.655040896,0.773996056,0.790055614,0.732037892,0.726616267
1.418802125,1.10439376,1.054992809,0.957463473,0.920250334,0.928556684,0.972404847,0.732629659,0.716616811,1.123869992,0.949390251,0.891930415,0.620698801,0.685677033,0.750794294,0.693428015,0.711214864
1.433061576,0.998563864,0.986588802,0.896685823,0.911278515,0.872841294,0.947112442,0.701434731,0.65452526,0.924407629,0.825949973,0.87749146,0.654005149,0.649208359,0.725689893,0.695029156,0.69483855
1.339915856,0.954672613,0.9643907,0.858652092,0.82026499,0.838872807,0.936618599,0.708474458,0.628902202,0.937369038,0.78017308,0.816514385,0.764417572,0.685657139,0.705120344,0.633636193,0.70084775
1.323202802,0.938379555,0.97016528,0.856491367,0.783380022,0.812872143,0.924519292,0.697155727,0.670093893,0.844809404,0.768556437,0.794738102,0.679570033,0.646101258,0.658069989,0.612041439,0.662907802
1.278907512,0.904279145,0.949720753,0.843887463,0.737687344,0.785084145,0.910094095,0.687949765,0.665849438,0.809366394,0.707938478,0.777085292,0.675708846,0.62327221,0.658269741,0.581058881,0.651601002
1.243960392,0.905805448,0.949116381,0.84704268,0.693409394,0.784526741,0.906603022,0.697528676,0.675904035,0.763170856,0.694138008,0.699391972,0.660892835,0.618661131,0.664300172,0.580528364,0.667069579
1.269253863,0.902837652,0.95146096,0.85824992,0.658953231,0.775094115,0.9155039,0.700949354,0.68724135,0.735791272,0.703636802,0.685069161,0.620150014,0.626893111,0.664578537,0.588834752,0.615708013
1.256594149,0.916994595,0.966340283,0.865400646,0.662534237,0.774925578,0.916273041,0.704308137,0.67216473,0.769055104,0.683818689,0.69309216,0.597262691,0.61107955,0.670337432,0.593925571,0.619274451
1.245296723,0.922190469,0.968305506,0.870556128,0.710661111,0.776163875,0.929200064,0.700277331,0.697108306,0.721305312,0.705784589,0.7029588,0.598624231,0.622897982,0.655598526,0.587427563,0.62515094
1.290838574,0.940803782,0.985421543,0.915376607,0.690786485,0.785499452,0.933839328,0.711203259,0.647667472,0.766914697,0.673636634,0.708033051,0.598642512,0.633283457,0.673608857,0.593198567,0.606853491
1.325805463,1.058486103,1.039392028,1.013217129,0.732844313,0.832714035,0.961654198,0.753570215,0.649004428,0.831492223,0.71834216,0.780739834,0.622113515,0.684728602,0.699833276,0.619804962,0.629019904
1.544503504,1.248992883,1.122773285,1.116828708,0.776776006,0.994573145,1.014405588,0.806251573,0.654833334,1.001377205,0.786459819,0.836950607,0.641704117,0.739536556,0.738175594,0.675152777,0.684598501
1.593208184,1.22746236,1.214236856,1.119601878,0.823807386,1.013993789,1.083243489,0.807564252,0.676995857,1.00802377,0.91990307,0.846332944,0.652285589,0.735524584,0.817153178,0.676553176,0.662261862
1.595045079,1.130163032,1.304319083,1.083923551,0.767216067,0.926354121,1.156243381,0.808513781,0.70114618,0.911407847,1.112714021,0.885287845,0.6420335,0.683313272,0.882828146,0.665783962,0.654102806
1.565098862,1.111686008,1.362860375,1.079456036,0.773286913,0.91628983,1.213751045,0.806544647,0.706650026,0.975859303,1.156362189,0.907579049,0.627777738,0.741867216,0.92047264,0.687078519,0.648976151
1.619415282,1.119669681,1.35147263,1.064686719,0.765648335,0.917475425,1.195159793,0.81483632,0.728514009,1.026151544,1.162766992,0.94557755,0.684906737,0.740755636,0.921956541,0.685144326,0.591033648
1.525375182,1.107952095,1.299579339,1.056863692,0.782765129,0.901168608,1.168607319,0.815564209,0.670692519,0.931562761,1.124040546,0.893151583,0.657061287,0.712036606,0.90902892,0.701462603,0.634483448
1.583012397,1.108224623,1.264383124,1.045838335,0.784322781,0.923264858,1.140132777,0.807170244,0.646572635,0.986481304,1.135461455,0.87831745,0.708789283,0.691265496,0.89964256,0.681176053,0.633158895
1.58730962,1.108159775,1.243692808,1.041974483,0.820071259,0.921587553,1.143534787,0.806361479,0.670363054,0.898279048,1.087531023,0.839308485,0.632995684,0.70772983,0.872362118,0.671505818,0.642635239
