h2vmba3uEV22,h2vmba2uEV22,h2v0ba3uEV22,h2v0ba2uEV22,h2v0ba1uEV22,h1vmba2uEV22,h1v0ba3uEV22,h1v0ba2uEV22,h1v0ba1uEV22,A2vmba2uEV12,A2v0ba3uEV12,A2v0ba2uEV12,A2v0ba1uEV12,A1vmba2uEV12,A1v0ba3uEV12,A1v0ba2uEV12,A1v0ba1uEV12
0.705956179,0.608346811,0.524197847,0.492141513,0.339364565,0.379570672,0.299303045,0.300540945,0.208959167,0.339932371,0.324467598,0.226576923,0.159381007,0.228908514,0.17393797,0.146405189,0.097116123
0.704354013,0.622707326,0.521691126,0.492976786,0.369061825,0.400742287,0.297769737,0.301558532,0.220704944,0.364575304,0.326558715,0.241744498,0.185592157,0.242121369,0.173849885,0.151250089,0.107375
0.724545544,0.634454947,0.490760162,0.496878147,0.390371926,0.408363564,0.280810454,0.302393295,0.2335888,0.378661834,0.310549293,0.252485659,0.20892816,0.259225786,0.164210168,0.153604721,0.119962687
0.721931561,0.633511989,0.461553161,0.488076176,0.414065987,0.413387872,0.260038704,0.300556199,0.248109163,0.393749649,0.287733088,0.254458644,0.219665707,0.265213822,0.152122684,0.15527335,0.125696163
0.718253077,0.643004296,0.46539552,0.490209452,0.424441777,0.423857919,0.261218517,0.299272076,0.272860911,0.410269314,0.29548733,0.261714115,0.225439572,0.278446782,0.15346271,0.158742229,0.1289787
0.770321516,0.694936658,0.484924431,0.528407128,0.44617407,0.458824548,0.274228763,0.318882345,0.28779379,0.462581312,0.319272958,0.279014793,0.234638217,0.311878692,0.165344417,0.171294308,0.13761246
0.998423437,0.961852208,0.632513464,0.69107429,0.538026411,0.60862072,0.345912138,0.396942578,0.316055068,0.626816508,0.424636275,0.354674166,0.276894925,0.432406943,0.220480303,0.220960994,0.162874477
1.332790251,1.380561379,0.87460369,0.970983279,0.759716346,0.871769457,0.453031717,0.51318129,0.399076372,0.830514937,0.605593954,0.514566586,0.425530136,0.624329374,0.291636521,0.295851459,0.234759607
1.315723781,1.262303447,0.801189864,0.969374932,0.831073785,0.852780696,0.430998219,0.532957606,0.419557154,0.720677014,0.540069614,0.572777448,0.536381561,0.574901455,0.274290781,0.310352121,0.267943229
1.136791728,1.096120842,0.678728511,0.836206378,0.695766366,0.733513489,0.383209023,0.483917586,0.400216561,0.612541114,0.44513652,0.476819607,0.436149201,0.474350281,0.241077434,0.281800895,0.237619503
0.993841457,0.951517983,0.588948609,0.715440609,0.610324535,0.640287063,0.350304932,0.440631107,0.376193136,0.527257276,0.384365493,0.398862015,0.352856765,0.407137496,0.218023145,0.251545959,0.213643301
0.877902019,0.796012995,0.534346076,0.621347164,0.526941212,0.552414007,0.325392379,0.398460789,0.338785998,0.451719537,0.344324346,0.346560745,0.306694457,0.348888641,0.199759439,0.225427232,0.190559775
0.751610044,0.633563197,0.468922012,0.511929197,0.429142172,0.455269101,0.28373786,0.343894441,0.301230032,0.367434567,0.290816095,0.281396672,0.252025069,0.281332253,0.168032051,0.193390451,0.164243876
0.6117484,0.477639839,0.370325894,0.402375859,0.335785586,0.349689462,0.230878412,0.289429216,0.26569059,0.280693,0.218903284,0.213113459,0.190625734,0.219039847,0.131245376,0.160143029,0.136404591
0.494838916,0.381716904,0.293879417,0.335050597,0.281781513,0.281148938,0.193524803,0.250366975,0.231829094,0.215232598,0.163678995,0.166138309,0.143176586,0.172333502,0.105007388,0.132687597,0.112004546
0.413577833,0.332532244,0.256839369,0.300641991,0.244854054,0.243265093,0.174932577,0.226151553,0.207189146,0.174416755,0.13722975,0.135916398,0.115220483,0.140438158,0.091112159,0.114627063,0.093225312
0.387619212,0.311126169,0.243660445,0.286554721,0.227761848,0.224372673,0.168245577,0.213725284,0.191850556,0.151131514,0.12529046,0.122268843,0.098232116,0.124194332,0.085323401,0.1040785,0.082454088
0.375455172,0.301958992,0.239327578,0.282253375,0.215801921,0.212679865,0.165252258,0.209301332,0.179802558,0.141125322,0.122033958,0.114740116,0.089136159,0.114619233,0.083255935,0.098762875,0.075471026
0.373759606,0.305831881,0.241351704,0.293130056,0.215252701,0.210377154,0.165593522,0.212371841,0.174884829,0.140216846,0.123725591,0.11579256,0.084015211,0.111730975,0.08295044,0.0978712,0.072017039
